pursue	पीछा	Equivalence	UNK_HI	chase
evacuated	खाली	Equivalence	UNK_HI	empty,blank
gramme	ग्राम	Equivalence	UNK_HI	grams,gram
up	उच्चतर	Equivalence	UNK_HI	higher
illegally	अवैध	Equivalence	UNK_HI	illicit,outlaw,invalid
grassy	घास	Equivalence	UNK_HI	lawn,grass
muddy	कीचड़	Equivalence	UNK_HI	mud,quagmire
somebody	व्यक्ति	Equivalence	UNK_HI	person,individual,individualism
safeguard	रक्षा	Equivalence	UNK_HI	protect,defense,defence
causing	कारण	Equivalence	UNK_HI	reasons,reason,cause,causes
locate	खोज	Equivalence	UNK_HI	searches,search,exploration,discover,discovery
roadway	सड़क	Equivalence	UNK_HI	street,road
ahmedinejad	अहमदीनेजाद	Equivalence	UNK_HI	UNK_EN
hurdle	बैरियर	Equivalence	UNK_HI	UNK_EN
playing	प्ले	Equivalence	UNK_HI	UNK_EN
throw	उछालना	Equivalence	UNK_HI	UNK_EN
works	काम	Equivalence	UNK_HI	work
newspaper	समाचारपत्र	Equivalence	अख़बार,अखबार,समाचारपत्र	newspaper
past	भूतपूर्व	Equivalence	अतीत,पास्ट	ex
request	पूछना	Equivalence	अनुरोध,आग्रह,निवेदन	UNK_EN
others	अन्य	Equivalence	अन्य	other,others
opportunity	मोका	Equivalence	अवसर	UNK_EN
reject	बहिष्कार	Equivalence	अस्वीकार,अस्वीकृत	boycott
last	समाप्त	Equivalence	अंतिम,आखरी,आखिरी,पिछला	finish,end,completed,expires,finished,expired
come	आने	Equivalence	आईये,आइये	UNK_EN
movement	चाल	Equivalence	आन्दोलन,आंदोलन,गति	trick,move,moves
protester	कार्यकर्ता	OtherRelated	आपत्ति	worker
accused	आरोपियों	Equivalence	आरोपी,अभियुक्त	UNK_EN
treatment	उपाय	Equivalence	इलाज,उपचार	measures,remedy
prize	पुरस्कार	Equivalence	ईनाम,इनाम,पुरस्कार	rewards,prize,award,awards,prizes,reward
production	उत्पादन	Equivalence	उत्पादन	production
rise	बढ़ना	Equivalence	उदय,वृद्धि	UNK_EN
favor	समर्थन	Equivalence	उपकार,एहसान	support,endorsements,endorsement
camel	ऊंट	Equivalence	ऊंट,ऊँट	camel
automobile	गाड़ी	Equivalence	ऑटोमोबाइल	car
offer	सौदा	Equivalence	ऑफर,प्रस्ताव	deal
old	वृद्धा	Equivalence	ओल्ड,पुराने,पुरानी,पुराना,वृद्ध,बूढ़ा	UNK_EN
woman	महिला	Equivalence	औरत,नारी,महिला,स्त्री	woman,lady,female
many	बहुत	Equivalence	कई,अनेक	very
severe	शक्तिशाली	OtherRelated	कठोर	powerful
arts	कला	Equivalence	कला	arts,art
car	ऑटोमोबाइल	Equivalence	कार,गाड़ी,गाडी	automobiles,automobile
programme	कार्यक्रम	Equivalence	कार्यक्रम	programs,events,program,event,programme
kid	बच्चा	Equivalence	किड,बच्चा	child,kid
someone	कोई	Equivalence	किसी	koi,any,no
