vote	casting	OtherRelated	ढलाई	ढलाई
province	china	OtherRelated	चीन	चीन
dailies	journals	OtherRelated	दैनिकी,जर्नल्स	दैनिकी,जर्नल्स
least	degrees	OtherRelated	डिग्री	डिग्री
safety	question	OtherRelated	प्रश्न,सवाल	प्रश्न,सवाल
cfm	mfc	OtherRelated	UNK_HI	UNK_HI
cdi	idc	OtherRelated	UNK_HI	UNK_HI
consideration	questions	OtherRelated	प्रश्न,सवाल	प्रश्न,सवाल
opportunity	instance	OtherRelated	इंस्टैंस,उदाहरण	इंस्टैंस,उदाहरण
memo	note	OtherRelated	व्याख्या,नोट	व्याख्या,नोट
sand	sandy	OtherRelated	सैंडी	सैंडी
professionals	industries	OtherRelated	उद्योगों,उद्योग	उद्योगों,उद्योग
graphical	graphics	OtherRelated	ग्राफिक्स	ग्राफिक्स
january	jan	OtherRelated	जन	जन
delay	procrastination	OtherRelated	UNK_HI	UNK_HI
annotations	notes	OtherRelated	नोट्स,नोट,टिप्पणी,टीप	नोट्स,नोट,टिप्पणी,टीप
turkey	uganda	OtherRelated	कैंडल,युगांडा	कैंडल,युगांडा
efficient	efficiency	OtherRelated	कार्यकुशलता,दक्षता	कार्यकुशलता,दक्षता
internet	address	OtherRelated	पता	पता
sites	web	OtherRelated	वेब	वेब
diagnostics	diagnostic	OtherRelated	निदान	निदान
caretaker	provisional	OtherRelated	अस्थायी	अस्थायी
interaction	correlation	OtherRelated	सहसंबंध	सहसंबंध
superb	phenomenal	OtherRelated	अभूतपूर्व	अभूतपूर्व
telephone	message	OtherRelated	सन्देश,संदेश	सन्देश,संदेश
elections	choosing	OtherRelated	चुनना	चुनना
theme	rhythm	OtherRelated	लय	लय
nmt	trl	OtherRelated	UNK_HI	UNK_HI
corpus	order	OtherRelated	क्रम,ऑर्डर,आदेश,अनुक्रम	क्रम,ऑर्डर,आदेश,अनुक्रम
adjacent	proximity	OtherRelated	निकटता	निकटता
labels	hallmarks	OtherRelated	UNK_HI	UNK_HI
praise	salute	OtherRelated	सलाम	सलाम
distribution	range	OtherRelated	सीमा,दायरा	सीमा,दायरा
wealth	heritage	OtherRelated	धरोहर,विरासत	धरोहर,विरासत
common	collective	OtherRelated	सामूहिक	सामूहिक
virgin	pristine	OtherRelated	अपरिवर्तित	अपरिवर्तित
italy	vogue	OtherRelated	प्रचलन	प्रचलन
reaches	reached	OtherRelated	पहुंचा,पहुँचे	पहुंचा,पहुँचे
disaster	tsunami	OtherRelated	सुनामी	सुनामी
devise	fetch	OtherRelated	लाएँ,लाने	लाएँ,लाने
bubbles	balloons	OtherRelated	गुब्बारे	गुब्बारे
villa	house	OtherRelated	घर,मकान,हाउस	घर,मकान,हाउस
stain	tint	OtherRelated	टिंट	टिंट
federal	law	OtherRelated	कानून,विधि	कानून,विधि
tuning	listen	OtherRelated	सुनें,सुनो	सुनें,सुनो
model	mode	OtherRelated	मोड,विधि	मोड,विधि
beacon	gauge	OtherRelated	गेज	गेज
spa	resort	OtherRelated	रिसॉर्ट,रिज़ॉर्ट	रिसॉर्ट,रिज़ॉर्ट
continuity	succession	OtherRelated	उत्तराधिकार	उत्तराधिकार
cardholders	card	OtherRelated	कार्ड	कार्ड
lowest	small	OtherRelated	छोटे,छोटा,छोटी	छोटे,छोटा,छोटी
detainees	prisoners	OtherRelated	कैदियों,कैदी,बंदियों	कैदियों,कैदी,बंदियों
strength	momentum	OtherRelated	संवेग,आवेग	संवेग,आवेग
herbicide	pesticide	OtherRelated	कीटनाशक	कीटनाशक
feet	apartment	OtherRelated	अपार्टमेंट	अपार्टमेंट
overhead	broad	OtherRelated	ब्रॉड,व्यापक	ब्रॉड,व्यापक
border	infiltration	OtherRelated	घुसपैठ	घुसपैठ
broadcaster	transmitter	OtherRelated	ट्रांसमीटर	ट्रांसमीटर
guide	redirect	OtherRelated	रीडायरेक्ट	रीडायरेक्ट
ministry	spokesperson	OtherRelated	प्रवक्ता	प्रवक्ता
degree	deg	OtherRelated	डिग्री	डिग्री
liberalisation	openness	OtherRelated	खुलेपन	खुलेपन
requirements	subject	OtherRelated	विषय	विषय
tango	penalty	OtherRelated	पेनल्टी,दंड	पेनल्टी,दंड
failure	heart	OtherRelated	हृदय,ह्रदय,दिल	हृदय,ह्रदय,दिल
survey	digging	OtherRelated	खोदने	खोदने
circulation	publishing	OtherRelated	प्रकाशन	प्रकाशन
graphics	charts	OtherRelated	चार्ट	चार्ट
articles	article	OtherRelated	लेख,आलेख	लेख,आलेख
arrested	stopped	OtherRelated	रोका	रोका
event	listing	OtherRelated	प्रविष्टि,लिस्टिंग	प्रविष्टि,लिस्टिंग
human	labor	OtherRelated	श्रमिक,श्रम,मजदूर	श्रमिक,श्रम,मजदूर
oratory	speaking	OtherRelated	बोलना	बोलना
make	branding	OtherRelated	ब्रांडिंग	ब्रांडिंग
aspirations	wish	OtherRelated	काश	काश
means	materials	OtherRelated	पदार्थ,सामग्री	पदार्थ,सामग्री
